Unnamed: 0,review,score,thumbsUpCount,reviewCreatedVersion,replyContent,timeToReply,bert_review_pred
2001,the number of likes for this review is 0. the version of the app is 33.0. efficient and quick.,4,0,33.0,"it took 1 days 01:20:00 for the developer to reply to a user's review. i appreciate the feedback. i hope that the bankapp app simplifies your transactions. thanks, uswah.",1 days 01:20:00,3.8351488
2002,the number of likes for this review is 0. the version of the app is 29.0. mantapp,4,0,29.0,"it took 8 days 11:48:00 for the developer to reply to a user's review. hello friend bank, i appreciate your feedback. i hope the bankapp app simplifies your transactions. thanks! - sammy",8 days 11:48:00,3.9285793
2003,the number of likes for this review is 0. the version of the app is 33.0. extremely useful application.,4,0,33.0,"it took 0 days 00:54:00 for the developer to reply to a user's review. thanks for the feedback. we hope the bankapp app simplifies your transactions. cheers, una",0 days 00:54:00,3.9077797
2004,the number of likes for this review is 0. the version of the app is nan. lumayan,4,0,,"it took nan for the developer to reply to a user's review. dear bank friend, we are letting you know that the bankapp application network is functioning normally. kindly try again periodically, confirming that your internet connection is stable and you have the most recent version of the bankapp app. if everything is working smoothly for you, we would appreciate a -star rating. thanks ~ debi",,3.6676285
2005,the number of likes for this review is 0. the version of the app is 25.0. already hbs plsa k blm given otp code gmna how to make forget passewod,2,0,25.0,"it took 0 days 16:33:00 for the developer to reply to a user's review. hello friend bank, sorry for any issues you have encountered. for assistance, kindly email the problem details to bankapp.co.id. if all is well, we would appreciate a -star rating from you. thanks~ulfa",0 days 16:33:00,2.4617062
2006,the number of likes for this review is 0. the version of the app is nan. speedy,4,0,,"it took 9 days 20:42:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. remember to try out its other cool features for simple transactions. thanks, yuka.",9 days 20:42:00,3.8544931
2007,"the number of likes for this review is 0. the version of the app is 33.0. bank is quite poor … the offline services often have long lines, and there are many issues with the online services as well.",0,0,33.0,"it took 0 days 00:32:00 for the developer to reply to a user's review. hello friend bank, we are sorry for any issues you have encountered. to facilitate our inspection, kindly send a screenshot of the response to bank's official whatsapp at or email bankapp.co.id. if everything has been resolved, we would appreciate a -star rating from you. thanks, rida.",0 days 00:32:00,0.26083013
2008,the number of likes for this review is 0. the version of the app is 33.0. five stars,4,0,33.0,"it took 0 days 04:41:00 for the developer to reply to a user's review. hello bank friend, thank you for using the bankapp app. remember to explore other exciting features that simplify your transactions. thanks ~ rida",0 days 04:41:00,3.7902627
2009,"the number of likes for this review is 10. the version of the app is 33.0. the previous version was quite bad, but this one is more stable and suitable for transactions. however, before releasing a new version, thoroughly test it to avoid the same issues that rendered the last version completely unusable.",4,10,33.0,"it took 0 days 01:07:00 for the developer to reply to a user's review. hello bank friend, we appreciate you using bankapp, and we aim to streamline your daily transactions for convenience. thanks, sammy",0 days 01:07:00,1.2032304
2010,the number of likes for this review is 0. the version of the app is 33.0. very helpful. just a recommendation that the deposit service could be enhanced to make it easier for customers to open deposit accounts.,4,0,33.0,"it took 0 days 10:56:00 for the developer to reply to a user's review. we appreciate you using the bankapp app and encourage you to explore additional features that simplify your transactions. thanks, lily.",0 days 10:56:00,3.8784351
2011,the number of likes for this review is 0. the version of the app is 33.0. pleasant.,3,0,33.0,it took 0 days 01:50:00 for the developer to reply to a user's review. we appreciate the review. we hope the bankapp app simplifies your transactions. thanks~ulfa,0 days 01:50:00,3.866
2012,the number of likes for this review is 0. the version of the app is 32.0. extremely useful.,4,0,32.0,"it took 3 days 17:24:00 for the developer to reply to a user's review. we appreciate you using the bankapp app, and please remember to explore other exciting features to simplify your transactions. thanks, mawar.",3 days 17:24:00,3.921041
2013,"the number of likes for this review is 0. the version of the app is 32.0. my cash deposit service is not working. what should i do? for now, i'll rate you star, but i'll change it to stars once it is resolved.",0,0,32.0,"it took 0 days 18:09:00 for the developer to reply to a user's review. dear friend bank, we regret any inconvenience caused. kindly send the issue details through email at bankapp.co.id, or via dm on instagram , twitter , , for further assistance. if everything is satisfactory, we would appreciate a -star rating from our bank friends. thank you. ~belin",0 days 18:09:00,1.0510585
2014,the number of likes for this review is 0. the version of the app is 33.0. practically steady,4,0,33.0,"it took 13 days 23:27:00 for the developer to reply to a user's review. we appreciate your use of the bankapp app and encourage you to explore its other convenient transaction features. thanks, una.",13 days 23:27:00,3.9735506
2015,the number of likes for this review is 0. the version of the app is 32.0. q],2,0,32.0,"it took 1 days 00:50:00 for the developer to reply to a user's review. thank you for the feedback, sobat bank. we hope the bankapp app simplifies your transactions. if you find bankapp convenient, we look forward to receiving a -star rating from you. thanks, banu.",1 days 00:50:00,3.746521
2016,the number of likes for this review is 0. the version of the app is 33.0. everything is easy and hassle-free,4,0,33.0,"it took 0 days 07:56:00 for the developer to reply to a user's review. hello friend bank, we appreciate your use of the bankapp app and remind you to explore other exciting features that simplify transactions. thanks~rida",0 days 07:56:00,3.8369257
2017,the number of likes for this review is 0. the version of the app is nan. terrible bankapp. the situation keeps deteriorating steadily.,0,0,,"it took 0 days 03:36:00 for the developer to reply to a user's review. hello friend bank, sorry for any issues you have encountered. for further assistance, please provide the information through bank's whatsapp service at or email bankapp.co.id. thanks, una.",0 days 03:36:00,0.33106053
2018,the number of likes for this review is 0. the version of the app is 33.0. highly beneficial and advantageous.,4,0,33.0,"it took 0 days 01:49:00 for the developer to reply to a user's review. i appreciate the review. i hope the bankapp app simplifies your transactions. thanks, tika.",0 days 01:49:00,3.9479191
2019,the number of likes for this review is 0. the version of the app is nan. extremely useful and gratifying.,4,0,,it took 13 days 23:51:00 for the developer to reply to a user's review. we appreciate you using the bankapp app and encourage you to explore additional features that simplify your transactions. thank you!,13 days 23:51:00,3.8635786
2020,the number of likes for this review is 0. the version of the app is 33.0. several functions are not possible.,2,0,33.0,"it took 0 days 00:33:00 for the developer to reply to a user's review. hello friend bank, sorry for any issues you have encountered. the bankapp app is currently functioning normally. if you face any problems, please send the details via email to bankapp.co.id or through the official bank whatsapp at . if you are not experiencing any difficulties, we had appreciate a -star rating from your bank friend. thanks ~ banu",0 days 00:33:00,0.7325852
2021,"the number of likes for this review is 0. the version of the app is nan. why are there any deductions, and why is there an incoming text message stating that the bank deduction is up to ?",0,0,,"it took 4 days 05:20:00 for the developer to reply to a user's review. dear bank customer, we apologize for any inconvenience caused. please check your account transactions through internet banking browser/bankapp. for further assistance, share problem details via bank's official whatsapp at or email bankapp.co.id. if everything is fine, a -star rating would be greatly appreciated. thanks~bevi",4 days 05:20:00,0.7116811
2022,the number of likes for this review is 0. the version of the app is 33.0. extremely useful.,4,0,33.0,"it took 0 days 19:58:00 for the developer to reply to a user's review. we appreciate you using the bankapp app and encourage you to explore other useful features that simplify transactions. thanks, mawar.",0 days 19:58:00,3.9959419
2023,"the number of likes for this review is 0. the version of the app is nan. even worse, when you try to sign up to create videos, it fails every time, often taking you back to the main menu.",0,0,,"it took 0 days 14:13:00 for the developer to reply to a user's review. hello friend bank, we are sorry for the issues you have encountered. to assist you further, kindly email the received response as an image to bankapp.co.id. if everything is fine on your end, we would appreciate a -star rating from you. thanks~ulfa",0 days 14:13:00,0.20258702
2024,the number of likes for this review is 0. the version of the app is 32.0. leading market leader.,4,0,32.0,"it took 0 days 02:25:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks~mia",0 days 02:25:00,3.7546382
2025,"the number of likes for this review is 0. the version of the app is 33.0. all is simple, thank you bankapp🙏🙏😁",4,0,33.0,it took 1 days 22:17:00 for the developer to reply to a user's review. we appreciate you using the bankapp app and remind you to explore its additional exciting features that simplify transactions for bank friends. thanks~najwa,1 days 22:17:00,3.9021153
2026,"the number of likes for this review is 0. the version of the app is 33.0. why does my bankapp account creation always fail during video verification, even with good lighting, strong network, and ideal conditions?",0,0,33.0,"it took 0 days 20:19:00 for the developer to reply to a user's review. dear bank friends, we apologize for any inconvenience. when performing face verification, ensure the video is clear, well-lit, and unobstructed. please retry regularly and verify the internet connection is stable. if everything works smoothly, we would appreciate a -star rating from you. thanks, belin.",0 days 20:19:00,0.43788007
2027,the number of likes for this review is 0. the version of the app is 32.0. pleasant,4,0,32.0,"it took 11 days 16:18:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks, belin.",11 days 16:18:00,3.8533998
2028,the number of likes for this review is 0. the version of the app is 33.0. the breakthrough is excellent. the service is incredibly easy and genuinely very smart.,4,0,33.0,"it took 0 days 01:32:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks, satria",0 days 01:32:00,3.9863226
2029,the number of likes for this review is 0. the version of the app is 33.0. very easy and helpful to transact,4,0,33.0,"it took 13 days 01:13:00 for the developer to reply to a user's review. we appreciate the feedback; please keep enhancing banking transactions using the bankapp app. thanks, diva.",13 days 01:13:00,3.923432
2030,"the number of likes for this review is 0. the version of the app is 33.0. currently, bankapp performs well, but bank atms frequently encounter issues.",4,0,33.0,"it took 4 days 00:52:00 for the developer to reply to a user's review. hello, bank friend, thank you for the feedback. keep enhancing your banking transactions with the bankapp app. thanks~rida",4 days 00:52:00,3.1251163
2031,the number of likes for this review is 0. the version of the app is nan. facilitate the payment process.,4,0,,"it took 0 days 19:47:00 for the developer to reply to a user's review. we appreciate you using the bankapp app and remember to try out other cool features that simplify transactions for bank friends. thanks, najwa.",0 days 19:47:00,3.7786965
2032,"the number of likes for this review is 0. the version of the app is 33.0. what makes it so hard to install this application, and why does video recording consistently go undetected and fail? despite multiple attempts and even reinstalling the app, the issue persists. the cellphone signal is also strong. we really need this application.",2,0,33.0,"it took 0 days 23:54:00 for the developer to reply to a user's review. buddy bank, we apologize for any trouble caused. for verification, please share the response you received as an image through bank's official whatsapp at . if everything has been smooth, we would appreciate a -star rating from sobat bank. thanks~ asri",0 days 23:54:00,0.23806027
2033,the number of likes for this review is 0. the version of the app is 33.0. efisien,4,0,33.0,"it took 0 days 11:46:00 for the developer to reply to a user's review. hello friend bank, thank you for utilizing bankapp, let us simplify and streamline your daily transactions. thanks~bevi",0 days 11:46:00,3.9051123
2034,"the number of likes for this review is 0. the version of the app is nan. despite entering the correct id and password, it is still uncomfortable because it says they are wrong. the network is unreliable even though data is already being used. wi-fi can be problematic as well. please update the system again; i do not want to be disappointed.",0,0,,"it took 0 days 10:50:00 for the developer to reply to a user's review. bank friend, if any issues arise, kindly email the details to bankapp.co.id. if everything is fine, we would appreciate a -star rating from you. thanks~mawar",0 days 10:50:00,0.1506653
2035,the number of likes for this review is 0. the version of the app is 32.0. extremely useful.,4,0,32.0,"it took 0 days 09:24:00 for the developer to reply to a user's review. we appreciate your use of the bankapp application and encourage you to explore other exciting features that simplify transactions. thanks, mawar.",0 days 09:24:00,3.921041
2036,the number of likes for this review is 0. the version of the app is 32.0. jempol,4,0,32.0,"it took 5 days 22:36:00 for the developer to reply to a user's review. thanks for the feedback. i hope the bankapp app simplifies your transactions. regards, chess",5 days 22:36:00,3.9277534
2037,the number of likes for this review is 0. the version of the app is 33.0. mantap,4,0,33.0,"it took 8 days 06:51:00 for the developer to reply to a user's review. we appreciate your use of the bankapp app and encourage you to explore other helpful features that simplify transactions. thanks, banu.",8 days 06:51:00,4.0231
2038,the number of likes for this review is 0. the version of the app is 33.0. this bank's service is the poorest i've experienced; i'm extremely dissatisfied.,0,0,33.0,"it took 0 days 00:29:00 for the developer to reply to a user's review. hello sobat bank, kindly provide the specifics of your complaint through whatsapp at or via email at bankapp.co.id. the bankapp application has been enhanced recently. we look forward to a -star rating from you in the review. thanks, tika",0 days 00:29:00,0.14782251
2039,"the number of likes for this review is 0. the version of the app is 32.0. when entering the email verification code, it indicates that the data you provided still does not match our records, even though the number is correct as per the email. how complicated and annoying!",0,0,32.0,"it took 0 days 02:43:00 for the developer to reply to a user's review. hello bank friend, we are sorry for the inconveniences you have encountered. to follow up, please send a detailed message to bank's official whatsapp at or email bankapp.co.id. if everything is fine, we would appreciate a -star rating from you. thanks~winky",0 days 02:43:00,0.032748934
2040,the number of likes for this review is 0. the version of the app is 32.0. the progress is great. all transactions are fast and smooth.,4,0,32.0,"it took 3 days 17:37:00 for the developer to reply to a user's review. we appreciate you using the bankapp app, and please remember to explore other exciting features that simplify transactions. thanks ~mawar",3 days 17:37:00,4.017784
2041,the number of likes for this review is 0. the version of the app is 33.0. mantul,4,0,33.0,"it took 0 days 01:50:00 for the developer to reply to a user's review. thanks for the feedback. we hope the bankapp app simplifies your transactions. cheers, una.",0 days 01:50:00,3.8792815
2042,the number of likes for this review is 0. the version of the app is 33.0. why has it frequently been impossible to perform transactions since the update?,0,0,33.0,"it took 0 days 09:52:00 for the developer to reply to a user's review. hello friend bank, we apologize for any inconvenience caused. if you encounter any issues, please send the details to bank's official whatsapp number or email bankapp.co.id. if you can use bankapp without any problems, we would appreciate a -star rating from you. thanks~lily",0 days 09:52:00,0.95530903
2043,"the number of likes for this review is 0. the version of the app is 33.0. the situation is deteriorating. when you try to add funds to your digital wallet, it does not work. you cannot use qris as it always fails, despite having a good signal. i contacted support through whatsapp, but they said it could not be fixed. please resolve this issue.",1,0,33.0,"it took 0 days 18:06:00 for the developer to reply to a user's review. hello friend bank, we are sorry for the issues you have encountered. to proceed, kindly provide the specifics of the problem through whatsapp at or email us at bankapp.co.id. if everything is fine, we would appreciate a -star rating from you. thanks, yuka",0 days 18:06:00,0.147436
2044,the number of likes for this review is 0. the version of the app is 33.0. bagusee mantap,4,0,33.0,"it took 0 days 16:53:00 for the developer to reply to a user's review. we appreciate you using the bankapp app, and remember to explore other exciting features that simplify your transactions. thanks! ~mawar",0 days 16:53:00,3.9157755
2045,"the number of likes for this review is 0. the version of the app is 33.0. kindly address the issue during the video recording process. i have already visited customer service but still cannot resolve it. i do not have an atm card available. for the next review: the problem was solved by borrowing a costly cellphone. please simplify the video recording process, as not everyone has access to the latest technology, including myself. please remember the slogan ""no hassle."" thank you. from january , , until now january , , i have been unable to withdraw cash.",3,0,33.0,"it took nan for the developer to reply to a user's review. we are sorry for any issues you have encountered. ensure the video quality is adequate for face verification; it should not be too bankght, too dark, or have any objects obstructing the face. please retry periodically, ensuring a stable network connection. if all goes smoothly, we would greatly appreciate a -star rating from your friend. thank you, debi.",,0.005241413
2046,the number of likes for this review is 0. the version of the app is 33.0. mantap,4,0,33.0,"it took 0 days 03:31:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope the bankapp app simplifies your transactions. thanks ~ debi",0 days 03:31:00,4.0231
2047,the number of likes for this review is 0. the version of the app is nan. mantap,4,0,,"it took 0 days 06:48:00 for the developer to reply to a user's review. we appreciate your feedback, friend bank. please report any issues you encounter by providing details through bank's official whatsapp at or via email at bankapp.co.id. thanks, rida.",0 days 06:48:00,4.0106087
2048,"the number of likes for this review is 0. the version of the app is 33.0. why does the registration for bankapp keep failing? please, i've already opened a savings account.",2,0,33.0,"it took 0 days 00:58:00 for the developer to reply to a user's review. hello bank friend, sorry for the issues you have encountered. to investigate, please email a picture of the response you received to bankapp.co.id. if everything has been fine, we would appreciate a -star rating. thanks~ulfa",0 days 00:58:00,0.6688456
2049,the number of likes for this review is 0. the version of the app is 33.0. i am grateful it went smoothly and i hope for even greater success in the future.,3,0,33.0,"it took 0 days 02:17:00 for the developer to reply to a user's review. hello friend bank, i appreciate the review. i hope the bankapp app simplifies transactions for you. thanks, sammy",0 days 02:17:00,3.9788077
2050,"the number of likes for this review is 0. the version of the app is 33.0. constantly achieve success, bankapp.",4,0,33.0,"it took 3 days 21:50:00 for the developer to reply to a user's review. hello sobat bank, we appreciate your feedback. please keep enhancing your banking transactions through the bankapp app. thanks~rida",3 days 21:50:00,3.8849583
2051,the number of likes for this review is 0. the version of the app is 33.0. mantap,4,0,33.0,"it took 0 days 07:05:00 for the developer to reply to a user's review. we appreciate your feedback, keep enhancing your banking experience with bankapp. thanks, uswah.",0 days 07:05:00,3.9144218
2052,the number of likes for this review is 0. the version of the app is 33.0. quick access,4,0,33.0,"it took 0 days 12:00:00 for the developer to reply to a user's review. hello friend bank, we appreciate your feedback. keep using the bankapp app and enjoy hassle-free transactions. thanks~rida",0 days 12:00:00,3.897232
2053,"the number of likes for this review is 0. the version of the app is nan. the video recording always fails; i'm unsure what the issues are, and i cannot upload the videos.",0,0,,"it took 0 days 17:28:00 for the developer to reply to a user's review. bank buddies, kindly ensure that when capturing photos, the lighting is not overly bankght or excessively dark, the picture is sharp (not out of focus), the connection is steady, and the background color is uniform. if everything looks good, we hope your friend rates us stars. thanks~mawar",0 days 17:28:00,-0.024447944
2054,the number of likes for this review is 0. the version of the app is 32.0. what prevents bankapp from frequently completing transactions?,0,0,32.0,"it took 0 days 09:53:00 for the developer to reply to a user's review. hello friend bank, sorry for the inconvenience you have encountered. please ensure that you have the latest version of the bankapp app and that your internet connection is stable. bankapp services are functioning normally at the moment. if everything is working well for you, we would appreciate a -star rating. thanks ~ rida",0 days 09:53:00,0.25998712
2055,"the number of likes for this review is 0. the version of the app is nan. thank you, bankapp. it is excellent and simplifies things for customers during critical times.",4,0,,"it took 0 days 05:28:00 for the developer to reply to a user's review. we appreciate your feedback; keep enhancing your banking experiences with bankapp. thanks, uswah.",0 days 05:28:00,3.9949195
2056,"the number of likes for this review is 0. the version of the app is 33.0. why am i unable to purchase a data package on the bankapp app? despite updating it, i still cannot buy a data package, which is frustrating because i want everything to be available in one app. thanks.",1,0,33.0,"it took 1 days 16:04:00 for the developer to reply to a user's review. hello friend bank, sorry for the issues you have encountered. for further assistance, please share the details of the problem via whatsapp at or email bankapp.co.id. if everything is fine, we would appreciate a -star rating from your friend. thanks~diva",1 days 16:04:00,1.5950558
2057,the number of likes for this review is 0. the version of the app is 33.0. the video verification keeps failing repeatedly.,0,0,33.0,"it took 0 days 00:10:00 for the developer to reply to a user's review. hello friend bank, we’re sorry for the issues you have faced. to address them, kindly send a detailed message through bank's official whatsapp at or email at bankapp.co.id. if everything is fine, we’d appreciate a -star rating from you. thank you~erza",0 days 00:10:00,0.08338383
2058,the number of likes for this review is 0. the version of the app is 33.0. the sentence you provided appears to be incomplete or incorrectly entered. could you please provide the full sentence for accurate assistance?,4,0,33.0,"it took 0 days 01:25:00 for the developer to reply to a user's review. i appreciate the feedback. i hope the bankapp app simplifies your transactions. thanks, ulfa.",0 days 01:25:00,3.2448516
2059,"the number of likes for this review is 0. the version of the app is nan. a software designed to try your patience, geblekk.",0,0,,"it took 0 days 12:54:00 for the developer to reply to a user's review. dear bank friend, if you encounter any issues, kindly email the problem details to bankapp.co.id. if everything is fine, we would appreciate a -star rating from you. thanks~mawar",0 days 12:54:00,0.8335722
2060,"the number of likes for this review is 0. the version of the app is 37.0. this pie cannot be updated, no matter what. why on earth is that, geez?",1,0,37.0,"it took 0 days 12:23:00 for the developer to reply to a user's review. dear bank friend, kindly email the details of the issue to bankapp.co.id. if everything is fine, we would appreciate a -star rating from you. thank you, mawar.",0 days 12:23:00,0.73047173
2061,the number of likes for this review is 0. the version of the app is 33.0. semenjak saya menggunakan bankapp transaksi lebih mudah dan lebih cepat,4,0,33.0,"it took 15 days 20:15:00 for the developer to reply to a user's review. hello sobat bank, we appreciate your feedback and encourage you to keep using the bankapp app for more banking transactions. thanks, shima",15 days 20:15:00,3.92651
2062,the number of likes for this review is 0. the version of the app is 33.0. it is simple to carry out a transaction.,4,0,33.0,"it took 0 days 05:16:00 for the developer to reply to a user's review. hello sobat bank, we appreciate your feedback. please keep enhancing your banking experience with the bankapp app. thanks~rida",0 days 05:16:00,3.8999925
2063,the number of likes for this review is 0. the version of the app is 33.0. angelllllll.!!!!,0,0,33.0,"it took 0 days 14:10:00 for the developer to reply to a user's review. bank friends, should you encounter any issues, you can report the difficulties through bank's official whatsapp at or by emailing bankapp.co.id. if everything is running smoothly, we would appreciate a -star rating from you for your bank friend. thanks~ asri",0 days 14:10:00,3.303228
2064,"the number of likes for this review is 0. the version of the app is 19.0. extremely helpful with bankapp. hopefully, they continue to keep customers happy .🤗",3,0,19.0,"it took 0 days 03:13:00 for the developer to reply to a user's review. hey bank friend, thank you for your feedback. if bankapp is working well for you at the moment, we would be grateful for a -star rating. thanks~dio",0 days 03:13:00,3.8795142
2065,the number of likes for this review is 0. the version of the app is 33.0. let transactions always be safe and comfortable.,4,0,33.0,"it took 0 days 00:19:00 for the developer to reply to a user's review. hello, friend bank. thanks for using the bankapp app, and be sure to check out its other exciting features for effortless transactions. cheers, rida.",0 days 00:19:00,3.958524
2066,the number of likes for this review is 0. the version of the app is 33.0. keren mantep,4,0,33.0,it took 0 days 02:56:00 for the developer to reply to a user's review. we appreciate you using the bankapp app; remember to explore other exciting features that simplify transactions. thank you~mawar,0 days 02:56:00,3.8894439
2067,the number of likes for this review is 0. the version of the app is nan. how often have you tried and failed to upset people?,0,0,,"it took 0 days 18:35:00 for the developer to reply to a user's review. dear bank friend, we would like to inform you that the bankapp app network is currently functioning normally. please ensure that your internet connection is stable and that you are using the most recent version of the bankapp app by periodically checking for updates. if you are not encountering any issues, we would appreciate a -star rating from you. thank you, galih.",0 days 18:35:00,0.12816122
2068,the number of likes for this review is 0. the version of the app is 32.0. extremely useful.,4,0,32.0,"it took 0 days 00:33:00 for the developer to reply to a user's review. we appreciate you using the bankapp app, and remember to check out its other exciting features to simplify your transactions. thanks~mawar",0 days 00:33:00,3.9325278
2069,the number of likes for this review is 0. the version of the app is 31.0. simple and extremely useful,4,0,31.0,"it took 1 days 09:33:00 for the developer to reply to a user's review. hello friend bank, we appreciate you using the bankapp app. do not forget to explore other exciting features that simplify transactions. thanks, rida!",1 days 09:33:00,3.992037
2070,"the number of likes for this review is 0. the version of the app is 33.0. thank god, i hope it will be beneficial.",4,0,33.0,"it took 5 days 12:40:00 for the developer to reply to a user's review. thanks for the feedback. we hope the bankapp app simplifies your transactions. cheers, chess",5 days 12:40:00,3.99945
2071,the number of likes for this review is 0. the version of the app is 33.0. bro did not receive a card and wants to deposit cash at bankapp without any trouble.,0,0,33.0,"it took 0 days 13:30:00 for the developer to reply to a user's review. hello bank friend, you can now make cash deposits without a bank atm card using the bankapp app. simply choose the other menu > cash deposit. thanks~diva",0 days 13:30:00,1.5609308
2072,the number of likes for this review is 0. the version of the app is nan. i am from the th yesterday until now the status is still in process . my balance has been reduced .,1,0,,"it took 0 days 16:50:00 for the developer to reply to a user's review. we are sorry for any issues you have faced. to report a failed transaction, you can visit the bankapp app under the help center menu or use internet banking browser by navigating to the customer service menu, selecting message, then create new message, followed by create message. alternatively, you can reach out to contact bank at / for further assistance. thank you~heru",0 days 16:50:00,0.59465855
2073,"the number of likes for this review is 0. the version of the app is 33.0. i am sorry bank, but i am having difficulties transferring bi-fast to another bank; the status is still showing as being processed. i have submitted a complaint through bankapp and email, but i have not received any response; please improve your response times.",0,0,33.0,"it took 0 days 04:02:00 for the developer to reply to a user's review. hello bank friend, we apologize for the issues you have encountered. the bankapp network usually functions properly for transactions. to investigate further, kindly send the problem details through whatsapp at or via email at bankapp.co.id. if everything is working fine for you, we would appreciate a -star rating from you. thanks~dio",0 days 04:02:00,0.7288266
2074,the number of likes for this review is 0. the version of the app is nan. sangat memudahkan dalam bertransaksi apa pun,4,0,,"it took 0 days 17:17:00 for the developer to reply to a user's review. i appreciate your feedback. i hope the bankapp app simplifies your transactions. thanks, una.",0 days 17:17:00,0.3390769
2075,the number of likes for this review is 0. the version of the app is 33.0. mantaps,3,0,33.0,"it took 0 days 00:28:00 for the developer to reply to a user's review. thanks for using the bankapp app, and remember to try other exciting features that simplify your transactions. tks~arum",0 days 00:28:00,3.9474013
2076,"the number of likes for this review is 0. the version of the app is 33.0. even at the last stage of signing, the verification keeps failing, making the entire e-kyc process unsuccessful. no matter how often i try to re-register, it never works. kbagus finds it surprising how complex the process is when trying to create an account.",0,0,33.0,"it took 0 days 17:31:00 for the developer to reply to a user's review. bank friends, kindly ensure the pictures are taken with appropriate lighting, clarity (no blurriness), stable network connection, and a uniform background color. provided everything is in order, we anticipate a -star rating from your buddy. thanks~mawar",0 days 17:31:00,0.17951284
2077,the number of likes for this review is 0. the version of the app is nan. usefull,4,0,,"it took 0 days 00:13:00 for the developer to reply to a user's review. we appreciate you using the bankapp app and encourage you to explore other exciting features that simplify transactions. thanks, mawar.",0 days 00:13:00,3.9180014
2078,the number of likes for this review is 0. the version of the app is 33.0. bagus,4,0,33.0,"it took 2 days 15:31:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. remember to explore other useful features that simplify transactions for bank friends. thanks, najwa.",2 days 15:31:00,3.8523765
2079,the number of likes for this review is 0. the version of the app is 32.0. make it easy for us,4,0,32.0,"it took 3 days 23:58:00 for the developer to reply to a user's review. hello sobat bank, we appreciate your feedback. keep enhancing your banking experience with the bankapp app. thanks~rida.",3 days 23:58:00,3.9510634
2080,the number of likes for this review is 0. the version of the app is 31.0. mantap,4,0,31.0,"it took 9 days 15:43:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope that the bankapp app simplifies your transactions. thanks, satria.",9 days 15:43:00,4.026885
2081,"the number of likes for this review is 0. the version of the app is nan. how many times have i tried to register on bankapp, but it keeps failing? it is making it difficult for mala to register, making it harder than it should be.",0,0,,"it took 0 days 08:27:00 for the developer to reply to a user's review. hello friend bank, sorry for the inconvenience caused. for further assistance, please share the information through bank's whatsapp service at or via email at bankapp.co.id. thanks, una.",0 days 08:27:00,0.033116285
2082,the number of likes for this review is 0. the version of the app is 19.0. nice,4,0,19.0,"it took 0 days 00:39:00 for the developer to reply to a user's review. hello bank friend, we appreciate your feedback. we hope that the bankapp app simplifies your transactions. thanks~satria",0 days 00:39:00,3.829405
2083,the number of likes for this review is 0. the version of the app is 31.0. simple.,4,0,31.0,"it took 9 days 04:24:00 for the developer to reply to a user's review. hello friend bank, we appreciate you using bankapp. let us simplify your everyday transactions. thanks~bevi",9 days 04:24:00,3.8788388
2084,"the number of likes for this review is 0. the version of the app is 32.0. the application is very good, no need to bother ""kebank, everything is versatile",4,0,32.0,"it took 0 days 00:23:00 for the developer to reply to a user's review. hello friend bank, we appreciate you using the bankapp app. let us streamline and simplify your everyday transactions. thanks, mia.",0 days 00:23:00,3.9692976
2085,the number of likes for this review is 0. the version of the app is 33.0. my atm card number has not yet been sent to my email,0,0,33.0,"it took 0 days 11:56:00 for the developer to reply to a user's review. hello bank friend, the atm card number will solely appear on the physical atm card and it will not be emailed. thanks, diva.",0 days 11:56:00,0.27057
2086,the number of likes for this review is 0. the version of the app is 33.0. siiip,3,0,33.0,"it took 0 days 02:00:00 for the developer to reply to a user's review. hello bank friend, we appreciate your review. we hope the bankapp app simplifies your transactions. if you encounter no issues with bankapp, we had be grateful if you could give us a -star rating. thanks~una",0 days 02:00:00,3.8794773
2087,"the number of likes for this review is 0. the version of the app is nan. if you are not prepared or do not plan to create a mobile banking app like this one, then do not proceed. the verification process is extremely challenging. i've attempted it multiple times and have not succeeded.",0,0,,"it took 0 days 16::00 for the developer to reply to a user's review. bank friend, we are sorry for any trouble you have faced. to investigate, kindly send the response you received as an image through bank's official whatsapp . if everything is working well, we would appreciate a -star rating from your bank friend. thanks~asri",0 days 16::00,0.017713387
2088,the number of likes for this review is 0. the version of the app is 32.0. fast process,4,0,32.0,"it took 8 days 06::00 for the developer to reply to a user's review. we appreciate you using the bankapp app and encourage you to explore other convenient features for easier transactions. thanks, banu.",8 days 06::00,3.8775086
2089,the number of likes for this review is 0. the version of the app is 33.0. mantap,4,0,33.0,it took 0 days 08:14:00 for the developer to reply to a user's review. we appreciate you using the bankapp app. please explore other exciting features that simplify transactions. thanks~mawar,0 days 08:14:00,3.947397
